"ecosystem","component","package","version","relationship","development_only","optional","licence_from_source","source_file","installation_path"
"npm","frontend","@standard-schema/spec","1.1.0","transitive","true","false","MIT","kubeview-frontend/package-lock.json","node_modules/@standard-schema/spec"
"npm","frontend","@swc/helpers","0.5.15","transitive","false","false","Apache-2.0","kubeview-frontend/package-lock.json","node_modules/@swc/helpers"
"npm","frontend","@tailwindcss/node","4.2.1","transitive","true","false","MIT","kubeview-frontend/package-lock.json","node_modules/@tailwindcss/node"
"npm","frontend","@tailwindcss/oxide","4.2.1","transitive","true","false","MIT","kubeview-frontend/package-lock.json","node_modules/@tailwindcss/oxide"
"npm","frontend","@tailwindcss/oxide-android-arm64","4.2.1","transitive","true","true","MIT","kubeview-frontend/package-lock.json","node_modules/@tailwindcss/oxide-android-arm64"
"npm","frontend","@tailwindcss/oxide-darwin-arm64","4.2.1","transitive","true","true","MIT","kubeview-frontend/package-lock.json","node_modules/@tailwindcss/oxide-darwin-arm64"
"npm","frontend","@tailwindcss/oxide-darwin-x64","4.2.1","transitive","true","true","MIT","kubeview-frontend/package-lock.json","node_modules/@tailwindcss/oxide-darwin-x64"
"npm","frontend","@tailwindcss/oxide-freebsd-x64","4.2.1","transitive","true","true","MIT","kubeview-frontend/package-lock.json","node_modules/@tailwindcss/oxide-freebsd-x64"
"npm","frontend","@tailwindcss/oxide-linux-arm-gnueabihf","4.2.1","transitive","true","true","MIT","kubeview-frontend/package-lock.json","node_modules/@tailwindcss/oxide-linux-arm-gnueabihf"
"npm","frontend","@tailwindcss/oxide-linux-arm64-gnu","4.2.1","transitive","true","true","MIT","kubeview-frontend/package-lock.json","node_modules/@tailwindcss/oxide-linux-arm64-gnu"
"npm","frontend","@tailwindcss/oxide-linux-arm64-musl","4.2.1","transitive","true","true","MIT","kubeview-frontend/package-lock.json","node_modules/@tailwindcss/oxide-linux-arm64-musl"
"npm","frontend","@tailwindcss/oxide-linux-x64-gnu","4.2.1","transitive","true","true","MIT","kubeview-frontend/package-lock.json","node_modules/@tailwindcss/oxide-linux-x64-gnu"
"npm","frontend","@tailwindcss/oxide-linux-x64-musl","4.2.1","transitive","true","true","MIT","kubeview-frontend/package-lock.json","node_modules/@tailwindcss/oxide-linux-x64-musl"
"npm","frontend","@tailwindcss/oxide-wasm32-wasi","4.2.1","transitive","true","true","MIT","kubeview-frontend/package-lock.json","node_modules/@tailwindcss/oxide-wasm32-wasi"
